restaurant_id,restaurant,market_segment,area,rating,latitude,longitude,cuisine
6415,Nayagaraa Fresh Juice,Cafe,Valasaravakkam,4.0,13.0403,80.1723,Juices
6416,Rams Tea House,Cloud Kitchen,Anna Nagar East,4.6,13.092,80.2236,Street Food
6417,Indian Kafe,Fast Food,Alwarpet,3.6,13.0335,80.2531,Fast Food
6417,Indian Kafe,Fast Food,Alwarpet,3.6,13.0335,80.2531,Beverages
6418,Keerthana Restaurant,Restaurant,Selaiyur,3.6,12.9068,80.1425,South Indian
6418,Keerthana Restaurant,Restaurant,Selaiyur,3.6,12.9068,80.1425,Chinese
6419,Thiruchendur Murugan Tea And Tiffin Center,Cloud Kitchen,T. Nagar,3.6,13.0418,80.2341,South Indian
6419,Thiruchendur Murugan Tea And Tiffin Center,Cloud Kitchen,T. Nagar,3.6,13.0418,80.2341,North Indian
6419,Thiruchendur Murugan Tea And Tiffin Center,Cloud Kitchen,T. Nagar,3.6,13.0418,80.2341,Chinese
6419,Thiruchendur Murugan Tea And Tiffin Center,Cloud Kitchen,T. Nagar,3.6,13.0418,80.2341,Fast Food
6419,Thiruchendur Murugan Tea And Tiffin Center,Cloud Kitchen,T. Nagar,3.6,13.0418,80.2341,Biryani
6420,Tropical Fruit Juice & Cafe,Fast Food,Perambur,3.0,13.121,80.2326,Beverages
6420,Tropical Fruit Juice & Cafe,Fast Food,Perambur,3.0,13.121,80.2326,Fast Food
6421,DP Square Veggie Takeaway,Restaurant,Virugambakkam,3.6,13.0532,80.1922,South Indian
6421,DP Square Veggie Takeaway,Restaurant,Virugambakkam,3.6,13.0532,80.1922,North Indian
6421,DP Square Veggie Takeaway,Restaurant,Virugambakkam,3.6,13.0532,80.1922,Chinese
6422,Poppins Juice Bar,Fast Food,K.K. Nagar,3.6,13.041,80.1994,Beverages
6422,Poppins Juice Bar,Fast Food,K.K. Nagar,3.6,13.041,80.1994,Fast Food
6422,Poppins Juice Bar,Fast Food,K.K. Nagar,3.6,13.041,80.1994,North Indian
6422,Poppins Juice Bar,Fast Food,K.K. Nagar,3.6,13.041,80.1994,South Indian
6422,Poppins Juice Bar,Fast Food,K.K. Nagar,3.6,13.041,80.1994,Rolls
6423,Shris Coffee,Fast Food,"Express Avenue Mall,Royapettah",3.6,13.054,80.2641,Beverages
6423,Shris Coffee,Fast Food,"Express Avenue Mall,Royapettah",3.6,13.054,80.2641,Fast Food
6424,Madras Royal,Restaurant,St. Thomas Mount,3.6,13.0051,80.1933,Biryani
6425,New Ifthar Restaurant,Restaurant,Potheri,3.7,12.8213,80.0371,South Indian
6425,New Ifthar Restaurant,Restaurant,Potheri,3.7,12.8213,80.0371,North Indian
6425,New Ifthar Restaurant,Restaurant,Potheri,3.7,12.8213,80.0371,Chinese
6426,La Corte,Restaurant,Perambur,3.6,13.121,80.2326,North Indian
