restaurant_id,restaurant,market_segment,area,rating,latitude,longitude,dish
8343,AK Chaat House,Fast Food,Egmore,3.6,13.0732,80.2609,Hot Dog
8343,AK Chaat House,Fast Food,Egmore,3.6,13.0732,80.2609,Fried Chicken
8343,AK Chaat House,Fast Food,Egmore,3.6,13.0732,80.2609,French Fries
8343,AK Chaat House,Fast Food,Egmore,3.6,13.0732,80.2609,Milkshake
8344,Aanas Tea Stall,Cafe,Vadapalani,3.6,13.05,80.2121,Lemon Ginger Juice
8344,Aanas Tea Stall,Cafe,Vadapalani,3.6,13.05,80.2121,Mixed Fruit Juice
8344,Aanas Tea Stall,Cafe,Vadapalani,3.6,13.05,80.2121,Rose Milk
8344,Aanas Tea Stall,Cafe,Vadapalani,3.6,13.05,80.2121,Mango Lassi
8344,Aanas Tea Stall,Cafe,Vadapalani,3.6,13.05,80.2121,Beetroot Juice
8344,Aanas Tea Stall,Cafe,Vadapalani,3.6,13.05,80.2121,Masala Chai
8344,Aanas Tea Stall,Cafe,Vadapalani,3.6,13.05,80.2121,Buttermilk
8345,Bharath Juice Centre,Cafe,Vadapalani,3.6,13.05,80.2121,Filter Coffee
8345,Bharath Juice Centre,Cafe,Vadapalani,3.6,13.05,80.2121,Mango Lassi
8345,Bharath Juice Centre,Cafe,Vadapalani,3.6,13.05,80.2121,Cold Coffee
8345,Bharath Juice Centre,Cafe,Vadapalani,3.6,13.05,80.2121,Masala Chai
8345,Bharath Juice Centre,Cafe,Vadapalani,3.6,13.05,80.2121,Green Tea
8345,Bharath Juice Centre,Cafe,Vadapalani,3.6,13.05,80.2121,Mojito
8345,Bharath Juice Centre,Cafe,Vadapalani,3.6,13.05,80.2121,Tender Coconut
8346,Rasoi Ghar,Cloud Kitchen,Egatoor,3.6,12.8318,80.2292,Chole Bhature
8346,Rasoi Ghar,Cloud Kitchen,Egatoor,3.6,12.8318,80.2292,Paneer Butter Masala
8346,Rasoi Ghar,Cloud Kitchen,Egatoor,3.6,12.8318,80.2292,Butter Chicken
8346,Rasoi Ghar,Cloud Kitchen,Egatoor,3.6,12.8318,80.2292,Rogan Josh
8346,Rasoi Ghar,Cloud Kitchen,Egatoor,3.6,12.8318,80.2292,Aloo Paratha
8346,Rasoi Ghar,Cloud Kitchen,Egatoor,3.6,12.8318,80.2292,Biryani
8346,Rasoi Ghar,Cloud Kitchen,Egatoor,3.6,12.8318,80.2292,Dal Makhani
8347,Tasty Teddy,Restaurant,Guindy,3.6,13.0067,80.2206,Gobi Manchurian
8347,Tasty Teddy,Restaurant,Guindy,3.6,13.0067,80.2206,Sweet Corn Soup
8347,Tasty Teddy,Restaurant,Guindy,3.6,13.0067,80.2206,Pad Thai
8347,Tasty Teddy,Restaurant,Guindy,3.6,13.0067,80.2206,Tom Yum Soup
8347,Tasty Teddy,Restaurant,Guindy,3.6,13.0067,80.2206,Chilli Paneer
8347,Tasty Teddy,Restaurant,Guindy,3.6,13.0067,80.2206,Noodles
8347,Tasty Teddy,Restaurant,Guindy,3.6,13.0067,80.2206,Fried Rice
8348,Arcot Biriyani,Restaurant,Ambattur,3.6,13.1186,80.1574,Spring Rolls
8348,Arcot Biriyani,Restaurant,Ambattur,3.6,13.1186,80.1574,Chilli Paneer
8348,Arcot Biriyani,Restaurant,Ambattur,3.6,13.1186,80.1574,Chicken Biryani
8348,Arcot Biriyani,Restaurant,Ambattur,3.6,13.1186,80.1574,Fried Rice
8348,Arcot Biriyani,Restaurant,Ambattur,3.6,13.1186,80.1574,Egg Biryani
8348,Arcot Biriyani,Restaurant,Ambattur,3.6,13.1186,80.1574,Salna
8348,Arcot Biriyani,Restaurant,Ambattur,3.6,13.1186,80.1574,Vegetable Biryani
8349,Jegarthanda Factory,Restaurant,Kanchipuram District,3.6,12.8372,79.7042,Filter Coffee
8349,Jegarthanda Factory,Restaurant,Kanchipuram District,3.6,12.8372,79.7042,Ice Cream Sandwich
8349,Jegarthanda Factory,Restaurant,Kanchipuram District,3.6,12.8372,79.7042,Kulfi
8349,Jegarthanda Factory,Restaurant,Kanchipuram District,3.6,12.8372,79.7042,Buttermilk
8349,Jegarthanda Factory,Restaurant,Kanchipuram District,3.6,12.8372,79.7042,Falooda
8349,Jegarthanda Factory,Restaurant,Kanchipuram District,3.6,12.8372,79.7042,Mojito
8349,Jegarthanda Factory,Restaurant,Kanchipuram District,3.6,12.8372,79.7042,Vanilla Ice Cream
8350,Ramu Hotel,Hotel,Royapuram,3.6,13.1137,80.2954,Chicken Manchurian
8350,Ramu Hotel,Hotel,Royapuram,3.6,13.1137,80.2954,Idli Sambar
8350,Ramu Hotel,Hotel,Royapuram,3.6,13.1137,80.2954,Hakka Noodles
8350,Ramu Hotel,Hotel,Royapuram,3.6,13.1137,80.2954,Fried Rice
8350,Ramu Hotel,Hotel,Royapuram,3.6,13.1137,80.2954,Rava Idli
8350,Ramu Hotel,Hotel,Royapuram,3.6,13.1137,80.2954,Gobi Manchurian
8350,Ramu Hotel,Hotel,Royapuram,3.6,13.1137,80.2954,Medu Vada
8351,Kaafemaa,Cafe,Ambattur,3.6,13.1186,80.1574,Cold Coffee
8351,Kaafemaa,Cafe,Ambattur,3.6,13.1186,80.1574,Fresh Lime Soda
8351,Kaafemaa,Cafe,Ambattur,3.6,13.1186,80.1574,Masala Chai
8351,Kaafemaa,Cafe,Ambattur,3.6,13.1186,80.1574,Rose Milk
8351,Kaafemaa,Cafe,Ambattur,3.6,13.1186,80.1574,Tender Coconut
8351,Kaafemaa,Cafe,Ambattur,3.6,13.1186,80.1574,Green Tea
8351,Kaafemaa,Cafe,Ambattur,3.6,13.1186,80.1574,Mojito
8352,Raja Kadai,Cloud Kitchen,Maduravoyal,3.6,13.0656,80.1608,Chilli Paneer
8352,Raja Kadai,Cloud Kitchen,Maduravoyal,3.6,13.0656,80.1608,Palak Paneer
8352,Raja Kadai,Cloud Kitchen,Maduravoyal,3.6,13.0656,80.1608,Biryani
