outlets,avg_rating,median_rating,latitude,longitude,segment_diversity
3,2.9333333333333336,2.7,13.0418,80.2341,0.3060986113514965
3,4.0,4.0,13.033499999999998,80.2531,-0.0
3,3.8000000000000003,3.9,12.9349,80.2137,-0.0
3,3.6666666666666665,3.8,12.8923,80.1889,0.5283208335737187
3,3.5,3.7,13.0051,80.1933,0.3060986113514965
3,3.6,3.6,12.8312,80.2301,0.3060986113514965
3,3.6666666666666665,3.7,12.9975,80.1908,0.3060986113514965
3,3.6666666666666665,3.7,13.0569,80.2425,0.3060986113514965
3,3.4,3.2,13.0732,80.2609,-0.0
3,3.6666666666666665,3.6,13.036,80.1453,0.3060986113514965
3,3.8000000000000003,3.8,13.0067,80.2206,-0.0
3,3.3666666666666667,3.5,12.6819,79.9888,0.5283208335737187
3,3.1999999999999997,2.9,13.0569,80.2425,0.5283208335737187
3,3.966666666666667,4.0,13.0569,80.2425,0.3060986113514965
3,4.166666666666667,4.0,13.033499999999998,80.2531,0.5283208335737187
3,4.366666666666667,4.4,13.0418,80.2341,0.3060986113514965
3,3.1999999999999997,3.5,13.0373,80.2123,0.3060986113514965
3,4.466666666666667,4.4,13.0569,80.2425,-0.0
3,2.8000000000000003,2.7,12.86,80.247,0.5283208335737187
3,3.8333333333333335,3.9,12.901000000000002,80.2279,0.3060986113514965
3,2.6666666666666665,2.7,13.0368,80.2676,-0.0
3,3.266666666666667,3.1,13.074166666666665,80.1882,0.5283208335737187
3,3.1,3.1,13.038199999999998,80.1565,0.3060986113514965
3,3.5666666666666664,3.6,13.0694,80.1948,0.3060986113514965
2,3.7,3.7,13.0732,80.2609,0.33333333333333337
2,2.4,2.4,12.8372,79.7042,-0.0
2,2.15,2.15,13.0732,80.2609,0.33333333333333337
2,3.3499999999999996,3.3499999999999996,12.901,80.2279,0.33333333333333337
2,3.85,3.85,12.9617,80.2562,-0.0
2,4.199999999999999,4.199999999999999,13.0067,80.2206,0.33333333333333337
2,3.4000000000000004,3.4000000000000004,13.05,80.2121,-0.0
2,3.5,3.5,12.9803,80.253,-0.0
2,2.95,2.95,12.6208,80.1945,0.33333333333333337
2,2.8,2.8,13.0587,80.2757,0.33333333333333337
2,3.0,3.0,13.0828,80.2417,0.33333333333333337
2,3.3499999999999996,3.3499999999999996,12.86,80.247,-0.0
2,2.8,2.8,13.0569,80.2425,0.33333333333333337
2,3.6,3.6,13.0459,80.2231,0.33333333333333337
