restaurant_id,restaurant,market_segment,area,rating,latitude,longitude,feature
32,Nithya Amirtham,Restaurant,Mylapore,4.2,13.0368,80.2676,Breakfast
32,Nithya Amirtham,Restaurant,Mylapore,4.2,13.0368,80.2676,Home Delivery
32,Nithya Amirtham,Restaurant,Mylapore,4.2,13.0368,80.2676,Vegetarian Only
32,Nithya Amirtham,Restaurant,Mylapore,4.2,13.0368,80.2676,Indoor Seating
33,Shri Balaajee Bhavan,Restaurant,Chromepet,4.3,12.9516,80.1462,Breakfast
33,Shri Balaajee Bhavan,Restaurant,Chromepet,4.3,12.9516,80.1462,Home Delivery
33,Shri Balaajee Bhavan,Restaurant,Chromepet,4.3,12.9516,80.1462,Vegetarian Only
33,Shri Balaajee Bhavan,Restaurant,Chromepet,4.3,12.9516,80.1462,Indoor Seating
33,Shri Balaajee Bhavan,Restaurant,Chromepet,4.3,12.9516,80.1462,Catering Available
34,Kakada Ramprasad,Fast Food,Kilpauk,4.3,13.0828,80.2417,Breakfast
34,Kakada Ramprasad,Fast Food,Kilpauk,4.3,13.0828,80.2417,Home Delivery
34,Kakada Ramprasad,Fast Food,Kilpauk,4.3,13.0828,80.2417,Vegetarian Only
34,Kakada Ramprasad,Fast Food,Kilpauk,4.3,13.0828,80.2417,Free Parking
34,Kakada Ramprasad,Fast Food,Kilpauk,4.3,13.0828,80.2417,Pre-Ordering Required
34,Kakada Ramprasad,Fast Food,Kilpauk,4.3,13.0828,80.2417,Serves Jain Food
34,Kakada Ramprasad,Fast Food,Kilpauk,4.3,13.0828,80.2417,Desserts and Bakes
34,Kakada Ramprasad,Fast Food,Kilpauk,4.3,13.0828,80.2417,Indoor Seating
35,Rasavid,Restaurant,Velachery,3.9,12.9755,80.2207,Home Delivery
35,Rasavid,Restaurant,Velachery,3.9,12.9755,80.2207,Indoor Seating
35,Rasavid,Restaurant,Velachery,3.9,12.9755,80.2207,Buffet
36,Buhari,Restaurant,Chromepet,3.5,12.9516,80.1462,Home Delivery
36,Buhari,Restaurant,Chromepet,3.5,12.9516,80.1462,Indoor Seating
36,Buhari,Restaurant,Chromepet,3.5,12.9516,80.1462,Catering Available
37,Dominos Pizza,Fast Food,Kolathur,4.0,13.124,80.2121,Home Delivery
37,Dominos Pizza,Fast Food,Kolathur,4.0,13.124,80.2121,Indoor Seating
37,Dominos Pizza,Fast Food,Kolathur,4.0,13.124,80.2121,Catering Available
37,Dominos Pizza,Fast Food,Kolathur,4.0,13.124,80.2121,Free Parking
38,Shree Mithai,Fast Food,Chetpet,4.6,13.0714,80.2417,Breakfast
38,Shree Mithai,Fast Food,Chetpet,4.6,13.0714,80.2417,Home Delivery
38,Shree Mithai,Fast Food,Chetpet,4.6,13.0714,80.2417,Vegetarian Only
38,Shree Mithai,Fast Food,Chetpet,4.6,13.0714,80.2417,Free Parking
38,Shree Mithai,Fast Food,Chetpet,4.6,13.0714,80.2417,Catering Available
38,Shree Mithai,Fast Food,Chetpet,4.6,13.0714,80.2417,Indoor Seating
38,Shree Mithai,Fast Food,Chetpet,4.6,13.0714,80.2417,Serves Jain Food
38,Shree Mithai,Fast Food,Chetpet,4.6,13.0714,80.2417,Desserts and Bakes
39,New Andhra Meals Hotel,Hotel,Valasaravakkam,3.9,13.0403,80.1723,Home Delivery
39,New Andhra Meals Hotel,Hotel,Valasaravakkam,3.9,13.0403,80.1723,Indoor Seating
39,New Andhra Meals Hotel,Hotel,Valasaravakkam,3.9,13.0403,80.1723,Table booking recommended
40,Punjabi Nation,Restaurant,Guindy,4.0,13.0067,80.2206,Home Delivery
40,Punjabi Nation,Restaurant,Guindy,4.0,13.0067,80.2206,Indoor Seating
41,Krishnas Dosa Kadai,Restaurant,Mogappair,4.2,13.0837,80.175,Breakfast
41,Krishnas Dosa Kadai,Restaurant,Mogappair,4.2,13.0837,80.175,Home Delivery
41,Krishnas Dosa Kadai,Restaurant,Mogappair,4.2,13.0837,80.175,Vegetarian Only
41,Krishnas Dosa Kadai,Restaurant,Mogappair,4.2,13.0837,80.175,Free Parking
41,Krishnas Dosa Kadai,Restaurant,Mogappair,4.2,13.0837,80.175,Indoor Seating
42,Al Sham,Restaurant,Potheri,3.9,12.8213,80.0371,Home Delivery
42,Al Sham,Restaurant,Potheri,3.9,12.8213,80.0371,Table booking recommended
42,Al Sham,Restaurant,Potheri,3.9,12.8213,80.0371,Indoor Seating
43,Orange Wok,Restaurant,Nungambakkam,4.2,13.0569,80.2425,Home Delivery
43,Orange Wok,Restaurant,Nungambakkam,4.2,13.0569,80.2425,Free Parking
43,Orange Wok,Restaurant,Nungambakkam,4.2,13.0569,80.2425,Indoor Seating
43,Orange Wok,Restaurant,Nungambakkam,4.2,13.0569,80.2425,Outdoor Seating
43,Orange Wok,Restaurant,Nungambakkam,4.2,13.0569,80.2425,Smoking Area
44,Ghuma Ghumalu,Restaurant,Navallur,4.2,12.8459,80.2265,Home Delivery
44,Ghuma Ghumalu,Restaurant,Navallur,4.2,12.8459,80.2265,Indoor Seating
44,Ghuma Ghumalu,Restaurant,Navallur,4.2,12.8459,80.2265,Table reservation required
45,KPS Ambur Biriyani,Restaurant,Mogappair,3.6,13.0837,80.175,Home Delivery
45,KPS Ambur Biriyani,Restaurant,Mogappair,3.6,13.0837,80.175,Indoor Seating
46,Pedrenos,Fast Food,Mylapore,4.3,13.0368,80.2676,Home Delivery
46,Pedrenos,Fast Food,Mylapore,4.3,13.0368,80.2676,Desserts and Bakes
46,Pedrenos,Fast Food,Mylapore,4.3,13.0368,80.2676,Live Sports Screening
46,Pedrenos,Fast Food,Mylapore,4.3,13.0368,80.2676,Indoor Seating
46,Pedrenos,Fast Food,Mylapore,4.3,13.0368,80.2676,Table booking recommended
46,Pedrenos,Fast Food,Mylapore,4.3,13.0368,80.2676,Valet Parking Available
47,Madras Biryani,Restaurant,Perambur,4.0,13.121,80.2326,Home Delivery
47,Madras Biryani,Restaurant,Perambur,4.0,13.121,80.2326,Indoor Seating
47,Madras Biryani,Restaurant,Perambur,4.0,13.121,80.2326,Table Reservation Not Required
48,Palmshore,Restaurant,Egmore,4.4,13.0732,80.2609,Home Delivery
48,Palmshore,Restaurant,Egmore,4.4,13.0732,80.2609,Indoor Seating
48,Palmshore,Restaurant,Egmore,4.4,13.0732,80.2609,Table booking for Groups
48,Palmshore,Restaurant,Egmore,4.4,13.0732,80.2609,Available for Functions
48,Palmshore,Restaurant,Egmore,4.4,13.0732,80.2609,Catering Available
48,Palmshore,Restaurant,Egmore,4.4,13.0732,80.2609,Table booking recommended
48,Palmshore,Restaurant,Egmore,4.4,13.0732,80.2609,Bulk Orders Accepted
48,Palmshore,Restaurant,Egmore,4.4,13.0732,80.2609,Buffet
49,Hotel Sri Vairam,Hotel,Porur,4.0,13.0382,80.1565,Home Delivery
49,Hotel Sri Vairam,Hotel,Porur,4.0,13.0382,80.1565,Indoor Seating
49,Hotel Sri Vairam,Hotel,Porur,4.0,13.0382,80.1565,Free Parking
49,Hotel Sri Vairam,Hotel,Porur,4.0,13.0382,80.1565,Catering Available
50,Sea Emperor,Restaurant,Madipakkam,3.8,12.9647,80.1961,Home Delivery
50,Sea Emperor,Restaurant,Madipakkam,3.8,12.9647,80.1961,Indoor Seating
50,Sea Emperor,Restaurant,Madipakkam,3.8,12.9647,80.1961,Catering Available
51,Andhikkadai,Restaurant,Velachery,4.6,12.9755,80.2207,Breakfast
51,Andhikkadai,Restaurant,Velachery,4.6,12.9755,80.2207,Home Delivery
51,Andhikkadai,Restaurant,Velachery,4.6,12.9755,80.2207,Vegetarian Only
51,Andhikkadai,Restaurant,Velachery,4.6,12.9755,80.2207,Indoor Seating
52,Paradise Biryani,Restaurant,Thiruvanmiyur,4.2,12.983,80.2594,Home Delivery
52,Paradise Biryani,Restaurant,Thiruvanmiyur,4.2,12.983,80.2594,Free Parking
52,Paradise Biryani,Restaurant,Thiruvanmiyur,4.2,12.983,80.2594,Indoor Seating
53,A2B - Adyar Ananda Bhavan,Restaurant,Velachery,3.6,12.9755,80.2207,Breakfast
53,A2B - Adyar Ananda Bhavan,Restaurant,Velachery,3.6,12.9755,80.2207,Home Delivery
53,A2B - Adyar Ananda Bhavan,Restaurant,Velachery,3.6,12.9755,80.2207,Vegetarian Only
53,A2B - Adyar Ananda Bhavan,Restaurant,Velachery,3.6,12.9755,80.2207,Indoor Seating
53,A2B - Adyar Ananda Bhavan,Restaurant,Velachery,3.6,12.9755,80.2207,Desserts and Bakes
53,A2B - Adyar Ananda Bhavan,Restaurant,Velachery,3.6,12.9755,80.2207,Catering Available
53,A2B - Adyar Ananda Bhavan,Restaurant,Velachery,3.6,12.9755,80.2207,All Day Breakfast
54,Copper Kitchen,Restaurant,Saligramam,4.2,13.0545,80.2011,Home Delivery
54,Copper Kitchen,Restaurant,Saligramam,4.2,13.0545,80.2011,Lunch Menu
54,Copper Kitchen,Restaurant,Saligramam,4.2,13.0545,80.2011,Valet Parking Available
54,Copper Kitchen,Restaurant,Saligramam,4.2,13.0545,80.2011,Bulk Orders Accepted
54,Copper Kitchen,Restaurant,Saligramam,4.2,13.0545,80.2011,Sports TV
54,Copper Kitchen,Restaurant,Saligramam,4.2,13.0545,80.2011,Indoor Seating
54,Copper Kitchen,Restaurant,Saligramam,4.2,13.0545,80.2011,Table booking recommended
54,Copper Kitchen,Restaurant,Saligramam,4.2,13.0545,80.2011,Available for Functions
54,Copper Kitchen,Restaurant,Saligramam,4.2,13.0545,80.2011,Catering Available
54,Copper Kitchen,Restaurant,Saligramam,4.2,13.0545,80.2011,Wifi
54,Copper Kitchen,Restaurant,Saligramam,4.2,13.0545,80.2011,Buffet
55,Fazari,Restaurant,Chromepet,4.2,12.9516,80.1462,Home Delivery
55,Fazari,Restaurant,Chromepet,4.2,12.9516,80.1462,Indoor Seating
